feature,mae
SMA_30,0.06705671171713236
SMA_15,0.06717552653118372
BB_Middle,0.06734687557921155
EMA_9,0.06739531671930532
SMA_10,0.06743140593090179
Lag_3,0.06743908507825354
SMA_5,0.06748161664178312
Lag_4,0.06748832721375726
BB_Lower,0.06750944907047104
BB_Upper,0.06757164436984639
Lag_5,0.06780005221717797
Year,0.06789475249537107
ATR,0.06811690287593015
Stochastic_K,0.06817137841364863
RSI,0.06824501924671239
WPR,0.06828440406031352
DayOfWeek,0.06828461292659986
Signal_Line,0.06831305247868333
ROC,0.06831822256599764
MFI,0.0683359767260368
BASELINE,0.06834476136529044
MACD,0.06834981850977406
CMF,0.06842701172861299
Month,0.068710263004293
OBV,0.06907566207741446
VIX,0.06911930373086661
