feature,mae
SMA_5,0.1312743215411816
EMA_9,0.1407192857115914
BB_Upper,0.14166816495055323
ATR,0.14183709477336376
WPR,0.14235881931290534
BB_Lower,0.14237062215608107
SMA_30,0.14246730097030857
BB_Middle,0.14257044251506307
VIX,0.14262800866476924
MFI,0.14265695090746558
SMA_15,0.14267244242157726
RSI,0.14274859955953717
MACD,0.14283057593705537
Stochastic_K,0.14287422097788455
SMA_10,0.14289830304532974
Month,0.14291790424563455
Year,0.14292387998879003
BASELINE,0.14292387998879003
OBV,0.14292387998879003
Lag_4,0.14292476777945443
DayOfWeek,0.14292675399167287
Lag_5,0.14293266757161738
ROC,0.142978700543781
Signal_Line,0.1429822891859979
Lag_3,0.1431723910936968
CMF,0.14329560276661726
