Date,Open,High,Low,Close,Volume
2021-01-04,183.0,199.0,183.0,196.0,28000
2021-01-05,189.0,195.0,178.0,183.0,31000
2021-01-06,186.0,192.0,176.0,192.0,10100
2021-01-07,185.0,187.0,173.0,186.0,19800
2021-01-08,196.0,204.0,185.0,185.0,15300
2021-01-11,196.0,196.0,196.0,196.0,100
2021-01-12,195.0,196.0,183.0,183.0,8000
2021-01-13,194.0,194.0,183.0,184.0,5100
2021-01-14,193.0,194.0,193.0,194.0,13500
2021-01-15,190.0,200.0,180.0,193.0,3300
2021-01-18,177.0,195.0,177.0,195.0,15300
2021-01-19,197.0,234.0,171.0,177.0,78000
2021-01-20,184.0,197.0,184.0,197.0,69100
2021-01-21,175.0,194.0,172.0,194.0,18300
2021-01-22,169.0,174.0,169.0,170.0,1400
2021-01-25,176.0,176.0,169.0,169.0,12300
2021-01-26,168.0,189.0,168.0,176.0,36100
2021-01-27,160.0,184.0,157.0,158.0,22200
2021-01-28,160.0,160.0,150.0,160.0,2400
2021-01-29,176.0,180.0,175.0,179.0,10900
2021-02-01,165.0,180.0,165.0,179.0,12100
2021-02-02,175.0,186.0,175.0,186.0,2200
2021-02-03,174.0,185.0,168.0,175.0,3800
2021-02-04,163.0,171.0,162.0,171.0,8500
2021-02-05,179.0,184.0,159.0,159.0,9000
2021-02-08,184.0,187.0,179.0,179.0,9600
2021-02-09,175.0,184.0,172.0,184.0,3300
2021-02-10,180.0,181.0,164.0,175.0,5300
2021-02-11,180.0,180.0,168.0,179.0,2000
2021-02-15,185.0,185.0,170.0,170.0,9900
2021-02-16,173.0,185.0,173.0,185.0,21500
2021-02-17,172.0,173.0,165.0,173.0,12200
2021-02-18,173.0,174.0,165.0,165.0,10400
2021-02-19,174.0,174.0,163.0,163.0,500
2021-02-22,175.0,179.0,164.0,164.0,3000
2021-02-23,173.0,175.0,163.0,175.0,16600
2021-02-24,164.0,173.0,164.0,173.0,600
2021-02-25,172.0,175.0,162.0,175.0,6800
2021-02-26,170.0,172.0,161.0,172.0,1700
2021-03-01,168.0,169.0,160.0,169.0,23500
2021-03-02,174.0,175.0,174.0,174.0,4000
2021-03-03,171.0,173.0,162.0,173.0,39300
2021-03-04,177.0,184.0,162.0,171.0,16200
2021-03-05,165.0,176.0,165.0,174.0,12000
2021-03-08,170.0,180.0,166.0,166.0,8000
2021-03-09,169.0,180.0,161.0,164.0,55600
2021-03-10,170.0,171.0,160.0,169.0,45800
2021-03-12,169.0,180.0,166.0,180.0,14300
2021-03-15,185.0,185.0,161.0,169.0,90200
2021-03-16,173.0,186.0,173.0,185.0,139500
2021-03-17,168.0,183.0,163.0,163.0,2200
2021-03-18,177.0,180.0,165.0,168.0,3700
2021-03-19,176.0,177.0,166.0,170.0,1000
2021-03-22,175.0,175.0,165.0,165.0,3600
