co-imf0,co-imf1,co-imf2
-403.6097074486562,4213.827861597395,8418.297410729709
-595.9160861395136,4247.436891745485,8410.853539693173
-827.5579253755436,4273.135899467867,8403.414439968128
-1147.067923384309,4291.481112411156,8395.980484224905
-1257.3113377785467,4302.210883486764,8388.55204513389
-1107.3516974783693,4304.867036074013,8381.129495365487
-931.0753618866279,4299.602981764296,8373.713207590043
-957.0724846758463,4286.349179218158,8366.303554477949
-1152.895380812236,4264.78148916198,8358.900908699574
-1463.9055999175634,4234.944272898898,8351.505642925295
-1652.98920072551,4196.626540034134,8344.11812982549
-1665.9835370405467,4149.740147716671,8336.738742070538
-1686.5956262183806,4094.157155570583,8329.367852330814
-1633.7643004200131,4029.756931871065,8322.005833276693
-1634.247354960388,3956.418439668859,8314.65305757855
-1703.9418845100104,3874.020448222762,8307.309897906762
-1738.1565038108404,3782.441358650745,8299.976726931707
-1767.0383943168683,3681.559984277406,8292.653917323765
-1762.9180397695916,3571.73539907352,8285.341841753303
-1711.4819931523898,3452.8957325575434,8278.0408728907
-1613.9061170370076,3325.5752240749016,8270.751383406337
-1455.7669732956235,3189.8831037602904,8263.473745970588
-1342.6418640461595,3046.1639372391164,8256.208333253831
-1276.843541818428,2894.6621625800826,8248.95551792644
-1093.2813232636497,2735.8819409439143,8241.715672658793
-805.2570289990515,2570.116333858777,8234.489170121265
-577.2822917645499,2398.2522051693277,8227.276382984228
-387.63658633527956,2220.7007638230475,8220.077683918067
-256.5258037582918,2038.0990914892143,8212.893445593154
-220.4379654406585,1851.009744924746,8205.72404067987
-169.36936515529976,1659.9866620964522,8198.56984184858
-117.48084327665347,1465.605472386585,8191.4312217696715
15.210136465557497,1268.4333707037104,8184.308553113515
258.0633875903273,1069.038427366056,8177.2022085504905
449.523459532796,867.9889459240459,8170.11256075097
611.5086121041298,665.8531226620063,8163.039982385331
745.2161358407132,463.19918602020283,8155.984846123955
819.2661895923912,260.59535991176267,8148.947524637213
909.8305137675388,58.609716614705405,8141.928390595482
1008.1969845608357,-142.18953556586834,8134.927816669141
1094.0217488409526,-341.1781901279367,8127.946175528562
1180.1826034771575,-537.782312258438,8120.983839844123
1219.9976358330618,-731.5787302408039,8114.041182286203
1209.894440370624,-921.995177906654,8107.118575525178
1307.9762418824835,-1108.3187851253451,8100.216392231421
1515.9664921036608,-1290.0045924926144,8093.3350050753115
1516.0736043190348,-1466.2472828790878,8086.4747867272245
1320.7906072189778,-1636.426703267385,8079.636109857534
877.2086511354388,-1799.702666218056,8072.819347136621
716.8760468624873,-1955.383847028586,8066.024871234859
382.70492137922383,-2102.715374112958,8059.253054822623
-0.21203992018038953,-2240.9608646518404,8052.504270570291
-363.5413630771834,-2369.382217994795,8045.778891148244
-697.3715213873868,-2487.2397567292624,8039.0772892268515
-902.5254330060095,-2593.7878838694073,8032.3998374764915
-1037.0233595565169,-2688.2869068968166,8025.746908567543
-1186.631032026559,-2770.033207108292,8019.118875170379
-1333.4774654719874,-2838.2924723184847,8012.516109955376
-1271.0985132187454,-2893.6149749374435,8005.938985592913
-994.7965198342774,-2936.3011115525246,7999.3878747533645
-587.2898905422555,-2967.938945141971,7992.863150107111
-422.27743114250404,-2989.0164310876057,7986.365184324523
-279.90594256536974,-3000.8200484822532,7979.894350075978
-342.742512586458,-3004.2201657982673,7973.451020031851
-334.65081046255625,-3000.223795732479,7967.035566862521
-286.8013404306289,-2989.805830028045,7960.648363238363
-132.1631929457584,-2973.9894141208274,7954.289781829759
187.5088074895762,-2953.702370051299,7947.960195307082
407.32425655894843,-2929.9758902794156,7941.659976340706
550.6208413762461,-2903.774528523449,7935.389497601005
617.0062414512108,-2876.089804097808,7929.149131758359
548.0654864478771,-2847.906064525432,7922.939251483145
525.3879993169539,-2820.256097926332,7916.760229445737
535.3124629052674,-2794.130340745183,7910.612438316518
468.0132424590902,-2769.4479374253724,7904.496250765851
364.4931490620415,-2747.0571074922127,7898.412039464124
171.8286576144925,-2726.9199350126355,7892.360177081712
-123.50284361096406,-2709.5391459618063,7886.341036288988
-329.4326200111954,-2695.1642224574284,7880.35498975633
-446.87451860988665,-2684.1359791912323,7874.402410154114
-455.27037232554966,-2676.5288737642263,7868.483670152715
-313.85276045653853,-2672.746733692236,7862.59914242251
-192.4884012865259,-2670.427487763689,7856.749199633874
-79.68155509728669,-2668.131268785269,7850.9342144571865
29.801336036550367,-2663.1545618250193,7845.154559562825
97.24306669176266,-2653.7924098799695,7839.410607621161
186.67362433775563,-2637.760257732893,7833.702731302576
284.60006206565293,-2613.1256486870575,7828.031303277439
293.8592823655031,-2578.046485001281,7822.396696216133
212.94916223851948,-2531.3009876600727,7816.799282789032
101.91273304980605,-2473.5707274770466,7811.239435666515
-55.275731353463335,-2404.3023269837067,7805.717527518955
-165.11962736671705,-2324.1840942529575,7800.233931016729
-210.3481016635591,-2233.012750153861,7794.789018830212
-244.43881039313086,-2132.0905869161606,7789.38316362978
-243.9426612769975,-2021.8849614575363,7784.016738085816
-228.3401546926444,-1904.7175841939998,7778.69011486869
-200.48126935817032,-1781.6795659363383,7773.403666648778
-163.2085501042329,-1654.8834399967318,7768.157766096461
-122.83022748056419,-1525.842233904939,7762.95278588211
-91.58453419442739,-1396.537958053545,7757.789098676107
-75.25806399970219,-1268.6808073853874,7752.667077148824
-13.273803389788718,-1144.0109218328475,7747.587093970638
93.57735953162273,-1024.3088171310449,7742.549521811927
200.90965006218968,-911.3563257604172,7737.554733343065
320.44323562441946,-806.9195293085727,7732.603101234431
328.517718157589,-712.662645410074,7727.694998156401
206.5919061506151,-630.3387027723813,7722.83079677935
78.9498948969003,-559.867519838713,7718.010869773651
-86.36694949108426,-501.93394920621313,7713.235589809687
-165.13820246570927,-455.77136947682595,7708.505329557831
-128.76668023799692,-421.1421398899829,7703.820461688458
-101.65050910432065,-396.2488821007082,7699.181358871949
-46.88128069497861,-380.587340412847,7694.588393778676
19.309211046633834,-372.6627702161596,7690.041939079018
82.69279622095351,-371.4964434543432,7685.542367443347
107.36590451684988,-375.88219804704715,7681.090051542046
78.65908415128507,-384.5747599472951,7676.685364045485
32.75609816962216,-395.3952083421044,7672.328677624045
-45.7189788699483,-406.4154696834962,7668.020364948103
-100.84719382686662,-414.22160225204925,7663.760798688027
-126.15885461479712,-416.69357700693433,7659.550351514203
-98.9289646939501,-411.9281287359004,7655.389396097003
1.862610244736595,-398.62768547667076,7651.278305106803
55.867448662713095,-376.95563923101065,7647.217451213978
69.36370286089902,-346.2236239126105,7643.207207088909
69.51533921976417,-307.36384778852585,7639.247945401969
29.879883467684053,-260.153550268177,7635.340038823538
