Security Code,Issuer Name,Security Name,Group,Face Value,Industry,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
ANTM.JK,Aneka Tambang Tbk,Aneka Tambang Tbk.,Basic Materials,1405.0,Gold,Basic Materials,Gold,Basic Materials,Gold
BBNI.JK,Bank Negara Indonesia (Persero) Tbk,Bank Negara Indonesia  (Persero,Financial Services,5800.0,Banks - Regional,Financial Services,Banks - Regional,Financial Services,Banks - Regional
INDF.JK,Indofood Sukses Makmur Tbk,Indofood Sukses Makmur Tbk,Consumer Defensive,7125.0,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods
SMAR.JK,Sinar Mas Agro Resources and Technology Tbk,Smart Tbk.,Consumer Defensive,3990.0,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive,Farm Products
TLKM.JK,Telekomunikasi Indonesia (Persero) Tbk,Telkom Indonesia (Persero) Tbk.,Communication Services,3160.0,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services
BMRI.JK,Bank Mandiri (Persero) Tbk,Bank Mandiri (Persero) Tbk,Financial Services,7400.0,Banks - Regional,Financial Services,Banks - Regional,Financial Services,Banks - Regional
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk,Bank Rakyat Indonesia (Persero),Financial Services,5450.0,Banks - Regional,Financial Services,Banks - Regional,Financial Services,Banks - Regional
GGRM.JK,Gudang Garam Tbk,Gudang Garam Tbk,Consumer Defensive,15600.0,Tobacco,Consumer Defensive,Tobacco,Consumer Defensive,Tobacco
HMSP.JK,H.M. Sampoerna Tbk,H.M. Sampoerna Tbk.,Consumer Defensive,720.0,Tobacco,Consumer Defensive,Tobacco,Consumer Defensive,Tobacco
INTP.JK,Indocement Tunggal Prakarsa Tbk,Indocement Tunggal Prakarsa Tbk,Basic Materials,6825.0,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials
KLBF.JK,Kalbe Farma Tbk,Kalbe Farma Tbk,Healthcare,1740.0,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General
PGAS.JK,Perusahaan Gas Negara (Persero) Tbk,Perusahaan Gas Negara Tbk.,Utilities,1490.0,Utilities - Regulated Gas,Utilities,Utilities - Regulated Gas,Utilities,Utilities - Regulated Gas
PPRO.JK,PP Properti Tbk,PP Properti Tbk.,Real Estate,20.0,Real Estate - Development,Real Estate,Real Estate - Development,Real Estate,Real Estate - Development
PTBA.JK,Bukit Asam Tbk,Bukit Asam Tbk.,Energy,3050.0,Thermal Coal,Energy,Thermal Coal,Energy,Thermal Coal
PWON.JK,Pakuwon Jati Tbk,Pakuwon Jati Tbk.,Real Estate,515.0,Real Estate - Diversified,Real Estate,Real Estate - Diversified,Real Estate,Real Estate - Diversified
SCMA.JK,Surya Citra Media Tbk,Surya Citra Media Tbk,Communication Services,122.0,Broadcasting,Communication Services,Broadcasting,Communication Services,Broadcasting
TINS.JK,Timah Tbk,Timah Tbk.,Basic Materials,1025.0,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk,Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,7250.0,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials,Paper & Paper Products
UNTR.JK,United Tractors Tbk,United Tractors Tbk,Basic Materials,27050.0,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining
ADRO.JK,Adaro Energy Tbk,Adaro Energy Indonesia Tbk.,Energy,3710.0,Thermal Coal,Energy,Thermal Coal,Energy,Thermal Coal
AKRA.JK,AKR Corporindo Tbk,AKR Corporindo Tbk,Energy,1500.0,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing
ASII.JK,Astra International Tbk,Astra International Tbk,Industrials,5250.0,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates
BBCA.JK,Bank Central Asia Tbk,Bank Central Asia Tbk,Financial Services,10925.0,Banks - Regional,Financial Services,Banks - Regional,Financial Services,Banks - Regional
BDMN.JK,Bank Danamon Indonesia Tbk,Bank Danamon Indonesia Tbk.,Financial Services,2690.0,Banks - Regional,Financial Services,Banks - Regional,Financial Services,Banks - Regional
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Bank Pembangunan Daerah Jawa Ba,Financial Services,1000.0,Banks - Regional,Financial Services,Banks - Regional,Financial Services,Banks - Regional
BRIS.JK,Bank BRISyariah Tbk,Bank Syariah Indonesia Tbk.,Financial Services,3110.0,Banks - Regional,Financial Services,Banks - Regional,Financial Services,Banks - Regional
BSDE.JK,Bumi Serpong Damai Tbk,Bumi Serpong Damai Tbk,Real Estate,1240.0,Real Estate - Development,Real Estate,Real Estate - Development,Real Estate,Real Estate - Development
CPIN.JK,Charoen Pokphand Indonesia Tbk,Charoen Pokphand Indonesia Tbk,Consumer Defensive,4990.0,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive,Farm Products
ERAA.JK,Erajaya Swasembada Tbk,Erajaya Swasembada Tbk.,Consumer Cyclical,458.0,Specialty Retail,Consumer Cyclical,Specialty Retail,Consumer Cyclical,Specialty Retail
EXCL.JK,XL Axiata Tbk,XL Axiata Tbk.,Communication Services,2270.0,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services
ICBP.JK,Indofood CBP Sukses Makmur Tbk,Indofood CBP Sukses Makmur Tbk.,Consumer Defensive,12050.0,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods
INKP.JK,Indah Kiat Pulp & Paper Tbk,Indah Kiat Pulp & Paper Tbk.,Basic Materials,8275.0,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials,Paper & Paper Products
ITMG.JK,Indo Tambangraya Megah Tbk,Indo Tambangraya Megah Tbk,Energy,26125.0,Thermal Coal,Energy,Thermal Coal,Energy,Thermal Coal
JSMR.JK,Jasa Marga Tbk,Jasa Marga (Persero) Tbk,Industrials,4950.0,Infrastructure Operations,Industrials,Infrastructure Operations,Industrials,Infrastructure Operations
