R2,RMSE,MAE,MAPE
-49.645264001421566,5137394.21762021,5129387.613164273,92.91135494288946
R2,RMSE,MAE,MAPE
-49.956869812782784,5428560.122239731,5415308.307448328,92.90084197032121
R2,RMSE,MAE,MAPE,sMAPE
-17.31140599013428,2409328.349236721,2392889.2733091037,51.015440138999665,68.6015935118109
R2,RMSE,MAE,MAPE,sMAPE
-56.91462784663058,3664074.374028478,3656500.251606607,51.50786694240285,69.39561693104734
R2,RMSE,MAE,MAPE,sMAPE
-54.7204443220111,3428233.7956389985,3419687.771341834,50.47957518979407,67.54152625323992
R2,RMSE,MAE,MAPE,sMAPE
-197.91091992067373,6928084.728360798,6923343.019806361,95.75470610826491,183.70689471510713
R2,RMSE,MAE,MAPE,sMAPE
-50.97302139266104,5684240.033528326,5670218.308637726,102.20943428486666,191.03192436870248
R2,RMSE,MAE,MAPE,sMAPE
-46.54646394479235,5434161.026372872,5398359.607309598,96.66453760535128,185.74501934310138
R2,RMSE,MAE,MAPE,sMAPE
-45.712757354353094,5294666.919991838,5260727.596782388,95.85560511343914,183.17545633352682
R2,RMSE,MAE,MAPE,sMAPE
-47.484457134423515,5602466.589765911,5570979.750917909,97.84979336126857,187.7732502170609
R2,RMSE,MAE,MAPE,sMAPE
-50.373268599889364,1101284.410299645,1094602.9306075238,95.43840886819736,181.94094097748908
R2,RMSE,MAE,MAPE,sMAPE
-52.96566034278951,5254280.362025294,5227060.911753462,97.97216640040112,188.69980037515677
