-0.5365708480224685
13.268053146106213
11.870849304199218
5.241832554539453
218.60787391662598
0.17112479782187773
9.744857239234562
6.775498352050781
2.9072301122215265
260.2261219024658
0.3501651497569973
8.628442454388871
6.020423278808594
2.6064624837637207
190.83388924598694
-0.6413414768872803
13.712933814010452
13.172296905517578
5.84253088266059
137.96381068229675
0.21551415476777758
9.480330190569692
8.374546203613281
3.704209632707479
236.97794914245605
-291.77643646222276
185.0806393604692
185.0517196196015
90.28365677905236
155.94096302986145
-322.4007381069084
283.37019737868485
283.1715501391247
89.30271252470466
38.48950457572937
-273.80946014740306
209.49265545576424
209.1910470743274
89.34294414212337
73.82593131065369
R2,RMSE,MAE,MAPE
-319.7163374509246,38901.8943733208,38886.485891039214,91.96335286976408
R2,RMSE,MAE,MAPE,sMAPE
-94.94946669831015,21690.807274057865,21669.251193950502,49.95977268824138,66.60328073211643
R2,RMSE,MAE,MAPE,sMAPE
-98.0279674414833,35810.287643844174,35696.44658277272,49.11503146930352,65.13496510824862
R2,RMSE,MAE,MAPE,sMAPE
-100.92513906886606,36411.57657403185,36290.56046322383,49.8166404025673,66.3758115648881
R2,RMSE,MAE,MAPE,sMAPE
-99.9618086286591,31239.94503311739,31183.982369684516,49.69099772955086,66.13427856956822
R2,RMSE,MAE,MAPE,sMAPE
-99.53143662418279,36179.83546496533,36087.82794161818,49.5480283745867,65.90053882646622
R2,RMSE,MAE,MAPE,sMAPE
-100.8552784888057,31655.95395601575,31569.217748834817,49.827486301143864,66.38405460661349
R2,RMSE,MAE,MAPE,sMAPE
-97.00959367925644,35836.87924689459,35721.339239011024,48.85867278135554,64.68683523724864
R2,RMSE,MAE,MAPE,sMAPE
-100.03637848267971,29576.593263087743,29507.712278649116,49.65298715408472,66.06953155230448
R2,RMSE,MAE,MAPE,sMAPE
-100.08949658730337,36013.82442444413,35908.00388623209,49.64872009362641,66.08241558237144
R2,RMSE,MAE,MAPE,sMAPE
-101.32099173684124,36217.58925416907,36125.35419578742,49.98433497837263,66.67461262088538
R2,RMSE,MAE,MAPE,sMAPE
-107.94141724316171,20025.26781038893,20001.690429543163,48.687946949488335,64.36017328192575
R2,RMSE,MAE,MAPE,sMAPE
-106.47330827110837,19341.399288303182,19321.350598776695,48.372532241625535,63.81335281937601
R2,RMSE,MAE,MAPE,sMAPE
-109.83517941643703,23518.60656741115,23474.1698721919,49.67105738889527,66.10574409942241
R2,RMSE,MAE,MAPE,sMAPE
-108.17563304614804,20851.93779492559,20823.335372003898,49.315063674226,65.47169002348636
R2,RMSE,MAE,MAPE,sMAPE
-81.99389289117545,24780.632113917785,24734.087774749445,48.93354256621253,64.78756426630703
R2,RMSE,MAE,MAPE,sMAPE
-446.31983033536403,42343.94590594164,42322.145413519575,99.98632186908908,196.19310221374636
R2,RMSE,MAE,MAPE,sMAPE
-407.855498793359,38949.505247669025,38919.50140662041,95.43420052951757,182.5656197835223
R2,RMSE,MAE,MAPE,sMAPE
-405.24372978806,38601.49650679147,38572.5080684196,95.15297033652415,181.5490447829266
R2,RMSE,MAE,MAPE,sMAPE
-413.49017593831775,35497.628314063004,35486.16981255539,96.194859977738,185.49020108224562
R2,RMSE,MAE,MAPE,sMAPE
-404.79245354797246,84358.10990556644,84278.58589677564,95.2240424230818,181.7771070366102
R2,RMSE,MAE,MAPE,sMAPE
-453.8896112560918,64663.14669645545,64626.18322214644,100.8701006426842,199.05757075991224
R2,RMSE,MAE,MAPE,sMAPE
-712.4989585137085,25087.487333317393,25078.461282243607,94.32331094290977,178.54379023083544
R2,RMSE,MAE,MAPE,sMAPE
-411.073620954806,38969.51031141779,38947.32395563929,95.85391670223802,184.1453918993057
